id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
106297,Aigan: Keiyaku kara Hajimaru Love Romance,"Возлюбленный: Любовная история, начавшаяся с контракта",/mangas/106297-aigan-keiyaku-kara-hajimaru-love-romance,light_novel,0.0,released,1,0,,,2012-11-30,
102326,Mob-shikou na Ore ga Yoriniyotte Isekai Kyodaika Musou,,/mangas/102326-mob-shikou-na-ore-ga-yoriniyotte-isekai-kyodaika-musou,light_novel,0.0,ongoing,0,0,,,2016-11-30,
89807,"Ore no Kanojo wa Maria-sama, Imouto wa Goshujinsama",,/mangas/89807-ore-no-kanojo-wa-maria-sama-imouto-wa-goshujinsama,light_novel,0.0,released,2,12,,,2011-09-17,2011-12-20
89831,Shougakusei no Princess☆,,/mangas/89831-shougakusei-no-princess,light_novel,0.0,released,3,31,,,2008-06-25,2009-05-25
90080,Shinigami Rising,Растущий бог смерти,/mangas/90080-shinigami-rising,light_novel,0.0,released,1,0,,,2015-06-10,
92075,Gusha no Junction,,/mangas/92075-gusha-no-junction,light_novel,0.0,released,2,13,,,2015-09-01,2015-11-01
92628,Lens to Akuma,,/mangas/92628-lens-to-akuma,light_novel,0.0,released,12,61,,,2006-10-01,2009-11-01
92712,Muzokusei Mahou no Messiah,,/mangas/92712-muzokusei-mahou-no-messiah,light_novel,0.0,ongoing,0,0,,,2015-08-31,
170214,Yozakura-san Chi no Daisakusen: Orusuban Daisakusen-hen,,/mangas/170214-yozakura-san-chi-no-daisakusen-orusuban-daisakusen-hen,light_novel,0.0,released,1,5,,,2024-04-04,
94192,Real Bout High School: Early Days,Девушка-самурай: Ранние дни,/mangas/94192-real-bout-high-school-early-days,light_novel,0.0,released,3,19,,,2003-01-20,2008-08-20
94965,Marx-chan Nyuumon,Введение Маркс-чан,/mangas/94965-marx-chan-nyuumon,light_novel,0.0,ongoing,0,0,,,2016-01-22,
95219,Kanojo ga Catcher ni Natta Riyuu,"Причина, по которой она стала ловцом",/mangas/95219-kanojo-ga-catcher-ni-natta-riyuu,light_novel,0.0,released,1,5,,,2015-09-19,
74809,Inma ni Nerawareta Ore no DT ga Kiken Nanda ga,,/mangas/74809-inma-ni-nerawareta-ore-no-dt-ga-kiken-nanda-ga,light_novel,0.0,released,1,0,,,2012-03-17,
