id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
135805,Maruta no Koi,Любовь Маруты,/mangas/135805-maruta-no-koi,manga,0.0,ongoing,0,0,,,2021-03-24,
120064,Sheng Wang,Мудрец,/mangas/120064-sheng-wang,manhua,0.0,ongoing,0,0,,,2013-09-10,
34027,Masca: The Kings,Маска: Короли,/mangas/34027-masca-the-kings,manhwa,0.0,ongoing,0,0,,,2010-01-01,
170153,Contract Marrying Because I Am Terminally Ill,"Я заключила брак из-за того, что мои дни сочтены",/mangas/170153-contract-marrying-because-i-am-terminally-ill,manhwa,0.0,ongoing,0,0,,,2024-01-02,
3620,Heba! Hello-chan!,,/mangas/3620-heba-hello-chan,manga,0.0,released,5,42,,,1993-02-12,1994-02-01
4125,Kamiinu x Blood,,/mangas/4125-kamiinu-x-blood,manga,0.0,released,3,0,,,2007-01-27,2009-04-28
7014,Midara,Развратный,/mangas/7014-midara,manga,6.37,released,3,12,,,2002-11-01,2005-07-01
59573,Present Koukan wa Kiken na Kaori...!?,,/mangas/59573-present-koukan-wa-kiken-na-kaori,one_shot,5.95,released,0,1,,,2013-08-05,
180312,The Monkey King's Journey to the Murim,Царь обезьян из клана Намгун,/mangas/180312-the-monkey-king-s-journey-to-the-murim,manhwa,0.0,ongoing,0,0,,,2025-03-16,
189931,The Berserker's Second Playthrough,Второе прохождение берсерка,/mangas/189931-the-berserker-s-second-playthrough,manhwa,0.0,ongoing,0,0,,,2025-12-31,
190852,Ore ni Tsugou ga Yosugiru Machi: Shihaisha Skill de Isekai Harem Musou,,/mangas/190852-ore-ni-tsugou-ga-yosugiru-machi-shihaisha-skill-de-isekai-harem-musou,manga,0.0,ongoing,0,0,,,2026-01-27,
161693,Gas-tou Norainu Tanteidan,,/mangas/161693-gas-tou-norainu-tanteidan,manga,0.0,ongoing,0,0,,,2023-08-10,
164863,Random Target,Случайная цель,/mangas/164863-random-target,manhwa,0.0,released,0,83,,,2023-03-27,2024-09-23
23291,Arcana - Zoku ・ Kaitou,Аркана: Злодей и призрачный вор,/mangas/23291-arcana-zoku-kaitou,manga,0.0,released,1,14,,,2007-01-31,
23552,Dogesen,,/mangas/23552-dogesen,manga,0.0,released,3,25,,,2010-11-05,2011-10-07
115037,Ultra Kaijuu Gijinka Keikaku: Galaxy☆Days,Проект персонификации ультрамонстров: Галактические дни,/mangas/115037-ultra-kaijuu-gijinka-keikaku-galaxy-days,manga,0.0,released,5,59,,,2014-05-30,2019-05-30
22414,Pokemon Quiz Puzzle-land: Pikachu wa Meitantei,,/mangas/22414-pokemon-quiz-puzzle-land-pikachu-wa-meitantei,manga,0.0,released,2,14,,,2008-01-01,2009-01-01
173991,Tensei Majutsushi no Isekai Seikatsu: Gensaku Chishiki de Sekai Saikyou,,/mangas/173991-tensei-majutsushi-no-isekai-seikatsu-gensaku-chishiki-de-sekai-saikyou,manga,0.0,released,0,50,,,2022-12-15,2023-10-27
41459,Idea no Hana,Цветочная фантазия,/mangas/41459-idea-no-hana,manga,0.0,released,6,24,,,2012-06-26,2015-04-25
170112,Ken to Tiara to High Heels: Koushaku Reijou ni wa Eiyuu no Tamashii ga Yadoru @comic,"Меч, тиара и высокие каблуки: Дочь герцога с душой героя",/mangas/170112-ken-to-tiara-to-high-heels-koushaku-reijou-ni-wa-eiyuu-no-tamashii-ga-yadoru-comic,manga,0.0,ongoing,0,0,,,2020-12-17,
42543,One Off,Случай,/mangas/42543-one-off,manga,0.0,released,2,8,,,2012-09-05,2013-04-05
126290,Koukyuu Kisaki no Kanrinin,Управляющий внутренним дворцом,/mangas/126290-koukyuu-kisaki-no-kanrinin,manga,0.0,ongoing,0,0,,,2020-02-10,
147414,Kachime ga Nai no wa Ore dake ka!,"Я единственный, у кого нет шансов!",/mangas/147414-kachime-ga-nai-no-wa-ore-dake-ka,manga,0.0,released,3,14,,,2022-05-17,2023-06-16
22248,Oretachi ni Tsubasa wa Nai ~berceuse~,Мы — бескрылые: Колыбельная,/mangas/22248-oretachi-ni-tsubasa-wa-nai-berceuse,manga,0.0,ongoing,0,0,,,2008-01-01,
12562,Comic Master J,Мастер комиксов Джей,/mangas/12562-comic-master-j,manga,0.0,released,13,0,,,1996-01-01,2005-01-01
66563,Shinkaigyo,Глубоководная рыба,/mangas/66563-shinkaigyo,manga,0.0,released,1,9,,,2011-10-30,
135812,Butsuriteki ni Koritsu shiteiru Ore no Koukou Seikatsu @comic,Моя школьная жизнь физически изолирована,/mangas/135812-butsuriteki-ni-koritsu-shiteiru-ore-no-koukou-seikatsu-comic,manga,0.0,released,2,14,,,2019-09-18,2021-03-30
168857,"Bad End Mokuzen no Heroine ni Tensei shita Watashi, Konse dewa Renai suru Tsumori ga Cheat na Ani ga Hanashite Kuremasen!? @comic","Я переродилась героиней на пороге плохого финала, поэтому в этой жизни твёрдо намерена влюбиться, но мой читерский брат меня не отпускает?!",/mangas/168857-bad-end-mokuzen-no-heroine-ni-tensei-shita-watashi-konse-dewa-renai-suru-tsumori-ga-cheat-na-ani-ga-hanashite-kuremasen-comic,manga,0.0,ongoing,0,0,,,2022-05-16,
157038,Kitchen Soldier,Становление легендарным поваром,/mangas/157038-kitchen-soldier,manhwa,0.0,released,0,235,,,2019-04-19,2023-09-15
7471,Smash Bomber,Сокрушающий бомбардировщик,/mangas/7471-smash-bomber,manga,5.34,released,1,3,,,2006-01-01,
23866,Himawari: Kenichi Legend,Подсолнухи: Легенда Кэничи,/mangas/23866-himawari-kenichi-legend,manga,0.0,released,13,150,,,2005-12-08,2010-01-07
170418,Lady Blue Bird of the White Lion Family,Леди Синяя Птица и семейство Белых Львов,/mangas/170418-lady-blue-bird-of-the-white-lion-family,manhwa,0.0,ongoing,0,0,,,2024-05-05,
159273,Étrangère,Иной,/mangas/159273-trang-re,manhwa,0.0,released,0,79,,,2022-07-11,2023-10-10
